rxcui,drug_name,eis_score,eis_rank,eis_percentile,eis_tier,ehi_v6_score,eii_score,ehi_v6_validation_score,portfolio_value_score,strategic_opportunity_score,deployment_readiness_score,eis_framework_version,eis_weighting_method
249,acriflavine,53.2427,12665,57.971592,Foundational,57.6472,36.4822,92.53,43.8236,45.0672,47.5055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
270,spectinomycin,53.0389,12771,57.616487,Foundational,58.4689,35.8527,92.53,44.2344,43.685,45.7535,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
272,activated charcoal,52.8719,12820,57.455529,Foundational,59.3702,35.2491,92.53,44.6851,42.3426,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
281,acyclovir,52.7498,12863,57.304527,Foundational,59.0958,35.1667,92.53,44.5479,42.2191,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
290,adenine,49.826,13650,54.702642,Foundational,57.8336,31.1541,92.53,43.9168,34.3831,36.7375,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
296,adenosine,54.0046,12496,58.532457,Foundational,59.3594,36.9958,92.53,44.6797,45.8377,47.5055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
309,adenosine monophosphate,50.5236,13375,55.615293,Foundational,59.4013,31.6244,92.53,44.7006,35.0886,36.7375,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
318,adenosine triphosphate,52.4345,12959,56.995885,Foundational,57.8336,35.1671,92.53,43.9168,42.4091,44.7635,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
332,Adipex-P,39.6145,17808,40.89838,Foundational,36.2574,23.3272,92.53,27.7287,30.2908,36.5045,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
333,adiphenine,44.1307,15476,48.63932,Foundational,49.499,25.3207,92.53,36.1495,29.5166,31.7215,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
362,epinephrine hydrochloride,52.7502,12858,57.324439,Foundational,57.1804,35.9041,92.53,43.5902,43.9812,46.6295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
376,corticotropin,52.9002,12800,57.521904,Foundational,58.7955,35.5136,92.53,44.3978,42.958,44.8795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
388,polymyxin B sulfate,52.8167,12845,57.372561,Foundational,57.9696,35.7029,92.53,43.9848,43.4603,45.7535,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
397,agar,49.6847,13702,54.520112,Foundational,57.5161,31.0588,92.53,43.758,34.2402,36.7375,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
411,air,49.5446,13730,54.41889,Foundational,57.8336,30.7211,92.53,43.9168,33.5171,35.8715,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
423,ajmaline,48.2242,14210,52.840834,Foundational,55.5102,29.4911,92.53,41.5551,33.2556,35.3555,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
426,alanine,52.7498,12863,57.304527,Foundational,59.0958,35.1667,92.53,44.5479,42.2191,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
430,albendazole,52.9571,12792,57.543475,Foundational,58.9233,35.552,92.53,44.4616,43.0155,44.8795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
435,albuterol,57.2333,12125,59.763706,Foundational,69.1712,38.1894,92.53,49.5856,46.753,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
448,ethanol,52.892,12812,57.483738,Foundational,59.4155,35.2626,92.53,44.7078,42.363,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
460,alcuronium,45.8577,15146,49.714589,Foundational,52.7364,26.8249,92.53,38.9682,30.1894,32.2375,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
479,Alfenta,25.2993,23417,11.145958,Foundational,17.9649,8.6395,92.53,13.4824,9.0842,18.3795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
480,alfentanil,52.976,12788,57.561728,Foundational,58.3698,35.7939,92.53,44.1849,43.5824,45.6955,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
508,allantoin,52.7717,12851,57.34767,Foundational,59.145,35.1815,92.53,44.5725,42.2413,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
513,allethrin,43.2857,15522,48.022036,Foundational,49.499,24.0207,92.53,36.1495,26.9166,29.1215,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
516,allobarbital,45.8577,15146,49.714589,Foundational,52.7364,26.8249,92.53,38.9682,30.1894,32.2375,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
519,allopurinol,53.1249,12753,57.677884,Foundational,59.3004,35.6651,92.53,44.6502,43.1852,44.8795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
525,allylestrenol,50.6762,13369,55.635205,Foundational,57.8336,32.4621,92.53,43.9168,36.9991,39.3535,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
528,almitrine,48.5056,14143,53.064848,Foundational,55.5102,29.9241,92.53,41.5551,34.1216,36.2215,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
529,almitrine dimesylate,36.3996,18161,39.411589,Foundational,36.2574,18.3812,92.53,27.7287,20.3988,26.6125,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
535,alpha 1-antitrypsin,53.6026,12572,58.276915,Foundational,59.0958,36.4787,92.53,44.5479,44.8431,46.6295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
560,alpha-amylase,46.7984,15064,49.898779,Foundational,54.5277,27.6293,92.53,40.4638,30.6045,32.4965,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
569,eflornithine,53.4689,12630,58.084429,Foundational,58.7955,36.3886,92.53,44.3978,44.708,46.6295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
594,alphaprodine,45.8577,15146,49.714589,Foundational,52.7364,26.8249,92.53,38.9682,30.1894,32.2375,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
595,algestone,42.2032,15823,47.429643,Foundational,47.3891,23.1207,92.53,34.4945,26.3581,28.8625,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
596,alprazolam,52.4708,12955,57.0075,Foundational,58.4689,34.9787,92.53,44.2344,41.937,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
597,alprenolol,49.6135,13709,54.503518,Foundational,57.356,31.0108,92.53,43.678,34.1682,36.7375,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
598,alprostadil,52.7498,12863,57.304527,Foundational,59.0958,35.1667,92.53,44.5479,42.2191,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
599,alseroxylon,44.3143,15305,48.929709,Foundational,50.8556,25.1277,92.53,37.4278,28.002,30.2465,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
611,aluminum aspirin,48.8739,13966,53.653923,Foundational,62.0568,27.788,92.53,42.4284,32.5676,29.1215,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
612,aluminum hydroxide,52.7498,12863,57.304527,Foundational,59.0958,35.1667,92.53,44.5479,42.2191,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
613,aluminum hydroxide gel,49.6135,13709,54.503518,Foundational,57.356,31.0108,92.53,43.678,34.1682,36.7375,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
615,aluminum oxide,52.6669,12888,57.231515,Foundational,58.6977,35.1923,92.53,44.3488,42.33,44.2955,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
620,amantadine,52.8567,12826,57.432298,Foundational,58.6977,35.4843,92.53,44.3488,42.914,44.8795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
621,amantadine sulfate,43.5671,15492,48.543077,Foundational,49.499,24.4537,92.53,36.1495,27.7826,29.9875,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
623,ambenonium,52.141,13096,56.541219,Foundational,57.5161,34.8378,92.53,43.758,41.7982,44.2955,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
624,ambenonium chloride,47.0799,14626,51.450285,Foundational,54.5277,28.0623,92.53,40.4638,31.4705,33.3625,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
625,ambroxol,53.1407,12750,57.6895,Foundational,58.6977,35.9213,92.53,44.3488,43.788,45.7535,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
626,amdinocillin,49.6051,13712,54.468671,Foundational,57.9696,30.7619,92.53,43.9848,33.5783,35.8715,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
627,amdinocillin pivoxil,53.6083,12571,58.283552,Foundational,58.4689,36.7287,92.53,44.2344,45.437,47.5055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
632,mitomycin,53.0885,12765,57.639719,Foundational,59.2187,35.6406,92.53,44.6094,43.1484,44.8795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
641,amikacin,53.5813,12575,58.266959,Foundational,59.048,36.4644,92.53,44.524,44.8216,46.6295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
643,amikacin sulfate,52.4446,12957,57.000863,Foundational,57.5161,35.3048,92.53,43.758,42.7322,45.2295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
644,amiloride,52.6161,12898,57.188371,Foundational,58.7955,35.0766,92.53,44.3978,42.084,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
645,aminacrine,50.9537,13345,55.714855,Foundational,58.4689,32.6447,92.53,44.2344,37.269,39.3375,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
677,aminoglutethimide,52.6466,12890,57.224877,Foundational,58.9924,35.0477,92.53,44.4962,41.9966,43.8295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
683,aminolevulinic acid,53.8413,12551,58.344949,Foundational,58.9924,36.8857,92.53,44.4962,45.6726,47.5055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
689,aminophylline,52.8567,12826,57.432298,Foundational,58.6977,35.4843,92.53,44.3488,42.914,44.8795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
695,aminopyrine,50.4983,13435,55.416169,Foundational,59.3443,31.6073,92.53,44.6722,35.0629,36.7375,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
703,amiodarone,52.7108,12878,57.261383,Foundational,58.3698,35.3859,92.53,44.1849,42.7664,44.8795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
704,amitriptyline,52.7038,12881,57.253086,Foundational,58.9924,35.1357,92.53,44.4962,42.1726,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
709,ammonium,43.8492,15482,48.619408,Foundational,49.499,24.8877,92.53,36.1495,28.6506,30.8555,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
712,ammonium chloride,53.5258,12590,58.213859,Foundational,58.9233,36.427,92.53,44.4616,44.7655,46.6295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
719,amobarbital,52.9948,12781,57.58496,Foundational,58.3698,35.8229,92.53,44.1849,43.6404,45.7535,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
720,amodiaquine,52.0698,13104,56.514669,Foundational,57.356,34.7898,92.53,43.678,41.7262,44.2955,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
722,amoxapine,53.4689,12630,58.084429,Foundational,58.7955,36.3886,92.53,44.3978,44.708,46.6295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
723,amoxicillin,52.7717,12851,57.34767,Foundational,59.145,35.1815,92.53,44.5725,42.2413,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
725,amphetamine,52.8408,12832,57.414045,Foundational,59.3004,35.2281,92.53,44.6502,42.3112,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
732,amphotericin B,53.0126,12778,57.593256,Foundational,59.048,35.5894,92.53,44.524,43.0716,44.8795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
733,ampicillin,52.7881,12849,57.360945,Foundational,59.182,35.1926,92.53,44.591,42.2579,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
738,inamrinone,52.2622,13086,56.574406,Foundational,58.4689,34.6577,92.53,44.2344,41.295,43.3635,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
739,amsacrine,49.6051,13712,54.468671,Foundational,57.9696,30.7619,92.53,43.9848,33.5783,35.8715,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
742,amyl nitrite,52.5154,12947,57.03571,Foundational,58.6977,34.9593,92.53,44.3488,41.864,43.8295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
743,amylase,52.0468,13106,56.506372,Foundational,57.5161,34.6928,92.53,43.758,41.5082,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
756,Anafranil,39.6145,17808,40.89838,Foundational,36.2574,23.3272,92.53,27.7287,30.2908,36.5045,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
768,Synflex,25.2993,23417,11.145958,Foundational,17.9649,8.6395,92.53,13.4824,9.0842,18.3795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
769,Anaspaz,39.8992,17792,40.936546,Foundational,36.2574,23.7652,92.53,27.7287,31.1668,37.3805,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
