ehi_rank,rxcui,drug_name,ehi_score,ehi_percentile,ehi_tier_label,primary_driver,secondary_driver,limiting_factor,utilization_score,spend_score,disease_burden_score,population_impact_score,risk_score,source_claims_readiness_score,source_overall_intelligence_score,source_ai_readiness_score,source_semantic_richness_score,source_clinical_semantics_score,source_explainability_score,source_relationship_count,source_classification_count,source_disease_count
8,6387,lidocaine,92.52,99.97,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.83,99.98,98.44,100.0,28.83,100.0,100.0,100.0,100.0,100.0,100.0,33.0,97.0,14.0
9,8640,prednisone,92.51,99.96,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.51,99.88,99.33,99.93,28.29,100.0,100.0,100.0,100.0,100.0,100.0,26.0,72.0,41.0
9,5640,ibuprofen,92.51,99.96,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.91,99.98,96.8,100.0,31.86,100.0,100.0,100.0,100.0,100.0,100.0,36.0,72.0,19.0
10,6902,methylprednisolone,92.5,99.96,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.51,99.89,99.26,99.94,28.31,100.0,100.0,100.0,100.0,100.0,100.0,26.0,79.0,34.0
11,6373,levonorgestrel,92.49,99.95,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.79,99.9,98.81,99.92,28.26,100.0,100.0,100.0,100.0,100.0,100.0,32.0,48.0,20.0
12,8163,phenylephrine,92.47,99.95,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.45,99.88,97.41,99.99,31.86,100.0,100.0,100.0,100.0,100.0,100.0,25.0,93.0,12.0
13,82122,levofloxacin,92.43,99.95,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.64,99.84,98.9,99.88,28.19,100.0,100.0,100.0,100.0,100.0,100.0,28.0,45.0,21.0
14,11118,valproic acid,92.41,99.94,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.95,99.73,98.4,99.9,28.31,100.0,100.0,100.0,100.0,100.0,100.0,38.0,31.0,13.0
15,6054,isoproterenol,92.39,99.94,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.76,99.83,98.56,99.84,28.12,100.0,100.0,100.0,100.0,100.0,100.0,31.0,40.0,14.0
15,6851,methotrexate,92.39,99.94,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.64,99.82,98.75,99.85,28.14,100.0,100.0,100.0,100.0,100.0,100.0,28.0,43.0,23.0
16,3288,dextroamphetamine,92.37,99.93,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.93,99.55,97.2,99.46,31.49,100.0,100.0,100.0,100.0,100.0,100.0,37.0,26.0,9.0
16,6135,ketoconazole,92.37,99.93,Enterprise Critical,Population Impact Intelligence,Disease Burden Intelligence,Risk Intelligence,98.97,99.66,99.78,99.89,28.24,100.0,100.0,100.0,100.0,100.0,100.0,21.0,88.0,18.0
17,21183,citric acid,92.34,99.93,Enterprise Critical,Spend Intelligence,Disease Burden Intelligence,Risk Intelligence,99.29,99.78,99.73,99.56,27.28,100.0,100.0,100.0,100.0,100.0,100.0,23.0,65.0,12.0
18,8076,perphenazine,92.33,99.92,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.7,99.74,98.59,99.78,28.04,100.0,100.0,100.0,100.0,100.0,100.0,29.0,37.0,15.0
18,3966,ephedrine,92.33,99.92,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.45,99.79,98.74,99.87,28.18,100.0,100.0,100.0,100.0,100.0,100.0,25.0,49.0,7.0
19,8787,propranolol,92.32,99.92,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.15,99.61,99.46,99.81,28.06,100.0,100.0,100.0,100.0,100.0,100.0,22.0,47.0,23.0
19,9068,quinidine,92.32,99.92,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.58,99.75,98.63,99.82,28.08,100.0,100.0,100.0,100.0,100.0,100.0,27.0,40.0,10.0
20,6854,methoxsalen,92.31,99.91,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.79,99.77,99.14,99.37,26.94,100.0,100.0,100.0,100.0,100.0,100.0,32.0,35.0,16.0
21,6130,ketamine,92.3,99.91,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.15,99.43,97.78,99.83,31.66,100.0,100.0,100.0,100.0,100.0,100.0,22.0,34.0,13.0
21,21212,clarithromycin,92.3,99.91,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.38,99.77,98.7,99.88,28.19,100.0,100.0,100.0,100.0,100.0,100.0,24.0,52.0,20.0
22,4461,fluocinolone acetonide,92.29,99.9,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.38,99.8,98.58,99.91,28.25,100.0,100.0,100.0,100.0,100.0,100.0,24.0,62.0,11.0
23,6058,isosorbide dinitrate,92.25,99.9,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.7,99.81,98.79,99.49,27.09,100.0,100.0,100.0,100.0,100.0,100.0,29.0,41.0,12.0
23,7623,ofloxacin,92.25,99.9,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.29,99.67,98.8,99.84,28.11,100.0,100.0,100.0,100.0,100.0,100.0,23.0,49.0,22.0
24,4053,erythromycin,92.23,99.89,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.51,99.84,98.01,99.91,28.24,100.0,100.0,100.0,100.0,100.0,100.0,26.0,52.0,17.0
25,7052,morphine,92.22,99.89,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.51,99.44,96.91,99.74,31.61,100.0,100.0,100.0,100.0,100.0,100.0,26.0,28.0,8.0
25,4124,ethinyl estradiol,92.22,99.89,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.7,99.92,97.27,99.98,28.75,100.0,100.0,100.0,100.0,100.0,100.0,29.0,58.0,19.0
26,3389,diethylpropion,92.21,99.88,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.38,99.27,97.67,99.33,31.46,100.0,100.0,100.0,100.0,100.0,100.0,24.0,27.0,10.0
27,28004,isosorbide mononitrate,92.2,99.88,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.64,99.79,98.68,99.45,27.03,100.0,100.0,100.0,100.0,100.0,100.0,28.0,40.0,15.0
28,70223,aldesleukin,92.19,99.87,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.29,99.62,98.63,99.78,28.02,100.0,100.0,100.0,100.0,100.0,100.0,23.0,42.0,23.0
28,4492,fluorouracil,92.19,99.87,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.93,99.68,97.77,99.69,27.85,100.0,100.0,100.0,100.0,100.0,100.0,37.0,30.0,14.0
29,203180,epinephrine bitartrate,92.16,99.87,Enterprise Critical,Population Impact Intelligence,Disease Burden Intelligence,Risk Intelligence,98.6,99.46,99.71,99.8,28.07,100.0,100.0,100.0,100.0,100.0,100.0,19.0,70.0,14.0
30,8183,phenytoin,92.15,99.86,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.7,99.6,95.95,99.87,31.7,100.0,100.0,100.0,100.0,100.0,100.0,29.0,30.0,6.0
30,7514,norethindrone,92.15,99.86,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,100.0,99.96,96.72,99.93,28.3,100.0,100.0,100.0,100.0,100.0,100.0,52.0,50.0,15.0
30,1000112,medroxyprogesterone acetate,92.15,99.86,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.58,99.87,97.34,99.98,28.47,100.0,100.0,100.0,100.0,100.0,100.0,27.0,53.0,17.0
31,6878,methylene blue,92.14,99.85,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.86,99.9,97.73,99.56,27.25,100.0,100.0,100.0,100.0,100.0,100.0,34.0,44.0,9.0
32,6901,methylphenidate,92.13,99.85,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.45,99.26,97.2,99.3,31.45,100.0,100.0,100.0,100.0,100.0,100.0,25.0,26.0,9.0
32,7258,naproxen,92.13,99.85,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.83,99.94,96.61,99.99,28.76,100.0,100.0,100.0,100.0,100.0,100.0,33.0,53.0,16.0
33,8896,pseudoephedrine,92.12,99.84,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.83,99.93,95.05,99.98,31.85,100.0,100.0,100.0,100.0,100.0,100.0,33.0,51.0,5.0
34,108118,mometasone,92.11,99.84,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.8,99.5,99.11,99.78,28.02,100.0,100.0,100.0,100.0,100.0,100.0,20.0,52.0,14.0
34,28031,itraconazole,92.11,99.84,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.15,99.7,98.2,99.89,28.2,100.0,100.0,100.0,100.0,100.0,100.0,22.0,66.0,20.0
35,10395,tetracycline,92.09,99.83,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.45,99.86,97.38,99.92,28.29,100.0,100.0,100.0,100.0,100.0,100.0,25.0,72.0,25.0
36,42612,cromolyn,92.07,99.83,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.38,99.72,97.69,99.85,28.13,100.0,100.0,100.0,100.0,100.0,100.0,24.0,48.0,11.0
36,6922,metronidazole,92.07,99.83,Enterprise Critical,Spend Intelligence,Population Impact Intelligence,Risk Intelligence,99.79,99.95,96.61,99.95,28.32,100.0,100.0,100.0,100.0,100.0,100.0,32.0,62.0,16.0
37,5489,hydrocodone,92.06,99.82,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.29,99.48,96.33,99.83,31.66,100.0,100.0,100.0,100.0,100.0,100.0,23.0,33.0,7.0
38,139462,moxifloxacin,92.03,99.82,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.97,99.46,98.69,99.69,27.86,100.0,100.0,100.0,100.0,100.0,100.0,21.0,40.0,17.0
39,6628,mannitol,92.0,99.82,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.76,99.92,97.03,99.64,27.37,100.0,100.0,100.0,100.0,100.0,100.0,31.0,51.0,17.0
40,3418,dihydroergotamine,91.98,99.81,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.6,99.41,98.88,99.77,28.01,100.0,100.0,100.0,100.0,100.0,100.0,19.0,58.0,20.0
41,8536,polymyxin B,91.97,99.81,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.97,99.62,97.89,99.86,28.17,100.0,100.0,100.0,100.0,100.0,100.0,21.0,68.0,14.0
42,10180,sulfamethoxazole,91.96,99.81,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.15,99.49,98.06,99.66,27.83,100.0,100.0,100.0,100.0,100.0,100.0,22.0,37.0,16.0
43,37418,sumatriptan,91.93,99.8,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.29,99.37,98.12,99.5,27.48,100.0,100.0,100.0,100.0,100.0,100.0,23.0,30.0,14.0
44,7393,niacin,91.91,99.8,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.93,99.97,96.15,99.72,27.47,100.0,100.0,100.0,100.0,100.0,100.0,37.0,56.0,13.0
44,828529,"albumin human, USP",91.91,99.8,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.7,99.6,97.95,99.06,26.53,100.0,100.0,100.0,100.0,100.0,100.0,29.0,30.0,15.0
45,153971,atropine sulfate,91.88,99.79,Enterprise Critical,Disease Burden Intelligence,Population Impact Intelligence,Risk Intelligence,97.41,98.32,99.77,99.7,31.64,100.0,100.0,100.0,100.0,100.0,100.0,14.0,71.0,25.0
46,61148,somatropin,91.85,99.79,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.7,99.56,96.82,99.55,27.56,100.0,100.0,100.0,100.0,100.0,100.0,29.0,29.0,11.0
46,4491,fluorometholone,91.85,99.79,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.51,99.8,96.21,99.89,28.2,100.0,100.0,100.0,100.0,100.0,100.0,26.0,49.0,7.0
47,10829,trimethoprim,91.84,99.78,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.97,99.38,98.03,99.61,27.61,100.0,100.0,100.0,100.0,100.0,100.0,21.0,37.0,13.0
48,4018,ergocalciferol,91.83,99.78,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.89,99.79,96.6,99.34,26.92,100.0,100.0,100.0,100.0,100.0,100.0,35.0,34.0,9.0
49,20352,carvedilol,91.82,99.78,Enterprise Critical,Population Impact Intelligence,Disease Burden Intelligence,Risk Intelligence,98.6,98.98,99.23,99.4,27.36,100.0,100.0,100.0,100.0,100.0,100.0,19.0,33.0,13.0
50,10600,timolol,91.81,99.77,Enterprise Critical,Population Impact Intelligence,Disease Burden Intelligence,Risk Intelligence,98.14,98.94,99.22,99.79,28.21,100.0,100.0,100.0,100.0,100.0,100.0,17.0,47.0,18.0
50,228476,gatifloxacin,91.81,99.77,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.8,99.33,98.06,99.63,27.79,100.0,100.0,100.0,100.0,100.0,100.0,20.0,40.0,16.0
50,8727,progesterone,91.81,99.77,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.76,99.64,96.17,99.69,27.86,100.0,100.0,100.0,100.0,100.0,100.0,31.0,31.0,12.0
51,4678,ganciclovir,91.8,99.76,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.7,99.56,96.58,99.55,27.56,100.0,100.0,100.0,100.0,100.0,100.0,29.0,29.0,6.0
51,103468,hydrocortisone butyrate,91.8,99.76,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.14,99.18,99.03,99.74,27.98,100.0,100.0,100.0,100.0,100.0,100.0,17.0,84.0,20.0
52,11636,drospirenone,91.79,99.76,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.15,99.66,96.69,99.86,28.15,100.0,100.0,100.0,100.0,100.0,100.0,22.0,58.0,27.0
53,19831,budesonide,91.78,99.75,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.15,99.61,96.76,99.81,28.06,100.0,100.0,100.0,100.0,100.0,100.0,22.0,47.0,8.0
53,7984,penicillin V,91.78,99.75,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.58,99.75,95.71,99.94,28.39,100.0,100.0,100.0,100.0,100.0,100.0,27.0,40.0,24.0
53,6185,labetalol,91.78,99.75,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.6,99.13,98.72,99.51,27.5,100.0,100.0,100.0,100.0,100.0,100.0,19.0,37.0,15.0
54,3827,enalapril,91.76,99.74,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.6,99.15,98.51,99.54,27.56,100.0,100.0,100.0,100.0,100.0,100.0,19.0,39.0,13.0
55,3639,doxorubicin,91.75,99.74,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.38,99.69,97.97,98.87,25.88,100.0,100.0,100.0,100.0,100.0,100.0,24.0,45.0,30.0
55,10734,tranylcypromine,91.75,99.74,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.8,99.47,97.41,99.75,28.0,100.0,100.0,100.0,100.0,100.0,100.0,20.0,49.0,9.0
56,7454,nitrofurantoin,91.73,99.73,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.29,99.31,97.32,99.44,27.4,100.0,100.0,100.0,100.0,100.0,100.0,23.0,29.0,12.0
57,8152,phentermine,91.72,99.73,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.14,98.42,98.38,99.02,31.4,100.0,100.0,100.0,100.0,100.0,100.0,17.0,30.0,13.0
57,5781,indomethacin,91.72,99.73,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.58,99.82,95.46,99.88,28.18,100.0,100.0,100.0,100.0,100.0,100.0,27.0,46.0,18.0
58,7980,penicillin G,91.71,99.72,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.64,99.87,95.06,99.96,28.46,100.0,100.0,100.0,100.0,100.0,100.0,28.0,49.0,28.0
59,3407,digoxin,91.69,99.72,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.6,99.03,97.93,99.71,28.09,100.0,100.0,100.0,100.0,100.0,100.0,19.0,34.0,15.0
59,3423,hydromorphone,91.69,99.72,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.58,99.14,94.81,99.45,31.53,100.0,100.0,100.0,100.0,100.0,100.0,27.0,23.0,7.0
60,3443,diltiazem,91.68,99.71,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.97,99.21,97.6,99.46,27.43,100.0,100.0,100.0,100.0,100.0,100.0,21.0,31.0,11.0
61,3339,dibucaine,91.67,99.71,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.89,99.89,95.38,99.55,27.24,100.0,100.0,100.0,100.0,100.0,100.0,35.0,43.0,7.0
62,7814,oxymorphone,91.66,99.71,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,98.8,98.72,96.36,99.42,31.52,100.0,100.0,100.0,100.0,100.0,100.0,20.0,26.0,10.0
63,7715,orphenadrine,91.62,99.7,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.38,99.58,95.86,99.71,27.87,100.0,100.0,100.0,100.0,100.0,100.0,24.0,36.0,15.0
63,17767,amlodipine,91.62,99.7,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.97,99.43,96.68,99.66,27.84,100.0,100.0,100.0,100.0,100.0,100.0,21.0,39.0,5.0
64,4496,fluphenazine,91.61,99.7,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.7,99.49,96.91,98.79,26.23,100.0,100.0,100.0,100.0,100.0,100.0,29.0,27.0,8.0
65,4500,flurandrenolide,91.6,99.69,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.15,99.16,97.2,99.31,27.26,100.0,100.0,100.0,100.0,100.0,100.0,22.0,28.0,9.0
65,120608,peginterferon alfa-2a,91.6,99.69,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,98.97,99.51,98.45,98.63,25.45,100.0,100.0,100.0,100.0,100.0,100.0,21.0,43.0,28.0
65,8702,procarbazine,91.6,99.69,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.38,99.32,97.65,98.71,26.16,100.0,100.0,100.0,100.0,100.0,100.0,24.0,28.0,13.0
65,7983,penicillin G procaine,91.6,99.69,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.45,99.76,94.93,99.95,28.42,100.0,100.0,100.0,100.0,100.0,100.0,25.0,46.0,26.0
66,42375,leuprolide,91.59,99.68,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.8,99.09,97.64,99.4,27.36,100.0,100.0,100.0,100.0,100.0,100.0,20.0,31.0,12.0
66,140587,celecoxib,91.59,99.68,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.97,99.48,94.33,99.92,31.72,100.0,100.0,100.0,100.0,100.0,100.0,21.0,41.0,7.0
66,8164,phenylephrine hydrochloride,91.59,99.68,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,97.66,98.68,97.41,99.82,31.7,100.0,100.0,100.0,100.0,100.0,100.0,15.0,90.0,12.0
67,4450,fluconazole,91.58,99.67,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,98.6,99.13,97.7,99.51,27.5,100.0,100.0,100.0,100.0,100.0,100.0,19.0,37.0,12.0
