rxcui,drug_name,utilization_raw,utilization_score,utilization_percentile,spend_raw,spend_score,spend_percentile,disease_burden_raw,disease_burden_score,disease_burden_percentile,population_impact_raw,population_impact_score,population_impact_percentile,risk_raw,risk_score,risk_percentile,ehi_score,ehi_rank,ehi_percentile,ehi_tier,ehi_tier_label,primary_driver,secondary_driver,limiting_factor,methodology_version,calculation_date,source_coverage_flag,source_overall_intelligence_score,source_claims_readiness_score,source_ai_readiness_score,source_semantic_richness_score,source_interoperability_score,source_clinical_semantics_score,source_explainability_score,source_relationship_density_score,source_classification_density_score,source_relationship_count,source_classification_count,source_disease_count,source_atc_hierarchy_depth,source_schedule_count
110,oxyquinoline,45.054750763308114,58.03,58.03,64.1410593389088,69.46,69.46,17.767323775388295,25.3,25.3,41.59114728527811,56.5,56.5,67.00981929510155,98.63,98.63,58.17,2962,57.43,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,25.0,0.0,0.0,0.0,0.0
149,acebutolol,44.77614330280101,57.53,57.53,63.72314814814815,68.4,68.4,17.767323775388295,25.3,25.3,41.033932364263904,55.37,55.37,66.83568963228461,97.92,97.92,57.52,3002,55.72,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,18.0,0.0,0.0,0.0,0.0
154,acenocoumarol,45.072008164078056,58.07,58.07,64.16694544006373,69.51,69.51,17.767323775388295,25.3,25.3,41.625662086818004,56.54,56.54,67.02060517058277,98.68,98.68,58.21,2960,57.48,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,26.0,0.0,0.0,0.0,0.0
155,acepromazine,44.55860049117218,56.63,56.63,63.3968339307049,68.03,68.03,17.767323775388295,25.3,25.3,40.59884674100624,55.1,55.1,66.6997253750166,97.62,97.62,57.08,3028,55.24,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,15.0,0.0,0.0,0.0,0.0
161,acetaminophen,45.16460075667065,58.3,58.3,64.30583432895261,69.73,69.73,17.767323775388295,25.3,25.3,41.81084727200319,56.78,56.78,67.07847554095314,98.92,98.92,58.39,2947,57.74,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,35.0,0.0,0.0,0.0,0.0
162,acetanilide,37.173478361874416,49.93,49.93,48.81665073675826,59.95,59.95,17.767323775388295,25.3,25.3,35.433602482410734,51.96,51.96,64.91214904420549,93.89,93.89,52.21,3155,49.92,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,23.85,42.0,9.0,12.0,42.0,0.0,16.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0
164,acetate,37.173478361874416,49.93,49.93,48.81665073675826,59.95,59.95,17.767323775388295,25.3,25.3,35.433602482410734,51.96,51.96,64.91214904420549,93.89,93.89,52.21,3155,49.92,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,23.85,42.0,9.0,12.0,42.0,0.0,16.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0
167,acetazolamide,45.072008164078056,58.07,58.07,64.16694544006373,69.51,69.51,17.767323775388295,25.3,25.3,41.625662086818004,56.54,56.54,67.02060517058277,98.68,98.68,58.21,2960,57.48,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,26.0,0.0,0.0,0.0,0.0
168,acetic acid,45.18567469799549,58.35,58.35,64.33744524093987,69.78,69.78,17.767323775388295,25.3,25.3,41.85299515465287,56.82,56.82,67.09164675428116,98.97,98.97,58.43,2943,57.79,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,46.0,0.0,0.0,0.0,0.0
173,acetohexamide,44.883836121067304,57.69,57.69,63.88468737554759,68.82,68.82,17.767323775388295,25.3,25.3,41.2493180007965,56.19,56.19,66.90299764370104,98.31,98.31,57.83,2983,56.97,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,20.0,0.0,0.0,0.0,0.0
178,acetone,44.23070987654321,56.26,56.26,62.90499800876145,67.16,67.16,17.767323775388295,25.3,25.3,39.94306551174831,54.59,54.59,66.49479374087349,97.26,97.26,56.64,3050,54.78,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,12.0,0.0,0.0,0.0,0.0
193,acetylcarnitine,43.950940860215056,55.95,55.95,62.48534448426922,66.6,66.6,17.767323775388295,25.3,25.3,39.383527479091995,54.31,54.31,66.3199381056684,96.7,96.7,56.31,3067,54.37,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0
194,acetylcholine,44.463021040754015,56.51,56.51,63.25346475507766,67.89,67.89,17.767323775388295,25.3,25.3,40.40768784016992,54.83,54.83,66.63998821850524,97.52,97.52,56.96,3035,55.08,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,14.0,0.0,0.0,0.0,0.0
195,acetylcholinesterase,43.950940860215056,55.95,55.95,62.48534448426922,66.6,66.6,17.767323775388295,25.3,25.3,39.383527479091995,54.31,54.31,66.3199381056684,96.7,96.7,56.31,3067,54.37,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0
197,acetylcysteine,45.182190030532325,58.33,58.33,64.33221823974513,69.77,69.77,17.767323775388295,25.3,25.3,41.84602581972654,56.81,56.81,67.08946883711668,98.95,98.95,58.42,2944,57.78,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,42.0,0.0,0.0,0.0,0.0
199,acetyldigoxins,31.63164443116952,46.8,46.8,37.878399840700915,47.19,47.19,17.767323775388295,25.3,25.3,31.555934621000933,46.57,46.57,63.57037783751493,88.81,88.81,46.76,3177,46.8,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,18.67,36.0,4.5,6.0,36.0,0.0,13.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0
200,acetylene,33.57566706491438,48.42,48.42,41.6686837913182,52.05,52.05,17.767323775388295,25.3,25.3,33.040479888490644,48.14,48.14,64.07757948360546,90.63,90.63,48.88,3173,48.35,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,20.4,38.0,6.0,8.0,38.0,0.0,14.0,40.0,0.0,4.0,0.0,0.0,0.0,0.0
211,Topicycline,11.759474976768884,12.97,12.97,11.96689565909996,12.97,12.97,17.767323775388295,25.3,25.3,18.213095712199657,12.97,12.97,59.36433442851454,52.27,52.27,19.37,3220,12.97,4,Limited Enterprise Impact,Risk Intelligence,Disease Burden Intelligence,Population Impact Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,7.5,15.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,acidulated phosphate fluoride,31.63164443116952,46.8,46.8,37.878399840700915,47.19,47.19,17.767323775388295,25.3,25.3,31.555934621000933,46.57,46.57,63.57037783751493,88.81,88.81,46.76,3177,46.8,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,18.67,36.0,4.5,6.0,36.0,0.0,13.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0
239,aclarubicin,42.27457387495022,54.82,54.82,59.096544006371964,65.39,65.39,17.767323775388295,25.3,25.3,38.43429350856233,53.25,53.25,65.98002123987787,96.1,96.1,55.45,3107,53.46,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,29.02,48.0,13.5,18.0,48.0,0.0,19.0,90.0,0.0,9.0,0.0,0.0,0.0,0.0
242,aconite,26.137355303332004,34.46,34.46,27.88296614894464,34.65,34.65,17.767323775388295,25.3,25.3,25.3653563653259,32.91,32.91,61.54894713261649,73.8,73.8,36.38,3219,32.91,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,15.23,32.0,1.5,2.0,32.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
249,acriflavine,44.35035012611178,56.39,56.39,63.084458383114296,67.34,67.34,17.767323775388295,25.3,25.3,40.18234601088544,54.74,54.74,66.56956889685384,97.41,97.41,56.76,3044,54.95,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,13.0,0.0,0.0,0.0,0.0
270,spectinomycin,44.77614330280101,57.53,57.53,63.72314814814815,68.4,68.4,17.767323775388295,25.3,25.3,41.033932364263904,55.37,55.37,66.83568963228461,97.92,97.92,57.52,3002,55.72,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,18.0,0.0,0.0,0.0,0.0
272,activated charcoal,45.15929078720298,58.29,58.29,64.2978693747511,69.72,69.72,17.767323775388295,25.3,25.3,41.80022733306783,56.77,56.77,67.07515681003585,98.91,98.91,58.38,2948,57.73,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,34.0,0.0,0.0,0.0,0.0
281,acyclovir,45.03417463162087,57.98,57.98,64.11019514137794,69.41,69.41,17.767323775388295,25.3,25.3,41.54999502190363,56.45,56.45,66.99695921279702,98.57,98.57,58.13,2965,57.35,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,24.0,0.0,0.0,0.0,0.0
290,adenine,44.463021040754015,56.51,56.51,63.25346475507766,67.89,67.89,17.767323775388295,25.3,25.3,40.40768784016992,54.83,54.83,66.63998821850524,97.52,97.52,56.96,3035,55.08,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,14.0,0.0,0.0,0.0,0.0
296,adenosine,45.15265332536838,58.28,58.28,64.28791318199922,69.7,69.7,17.767323775388295,25.3,25.3,41.786952409398644,56.75,56.75,67.07100839638922,98.9,98.9,58.37,2949,57.72,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,33.0,0.0,0.0,0.0,0.0
309,adenosine monophosphate,45.17654818797292,58.33,58.33,64.32375547590603,69.76,69.76,17.767323775388295,25.3,25.3,41.83474213460773,56.8,56.8,67.08594268551705,98.95,98.95,58.41,2945,57.77,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,39.0,0.0,0.0,0.0,0.0
318,adenosine triphosphate,44.463021040754015,56.51,56.51,63.25346475507766,67.89,67.89,17.767323775388295,25.3,25.3,40.40768784016992,54.83,54.83,66.63998821850524,97.52,97.52,56.96,3035,55.08,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,14.0,0.0,0.0,0.0,0.0
332,Adipex-P,26.137355303332004,34.46,34.46,27.88296614894464,34.65,34.65,17.767323775388295,25.3,25.3,25.3653563653259,32.91,32.91,61.54894713261649,73.8,73.8,36.38,3219,32.91,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,15.23,32.0,1.5,2.0,32.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
333,adiphenine,33.57566706491438,48.42,48.42,41.6686837913182,52.05,52.05,17.767323775388295,25.3,25.3,33.040479888490644,48.14,48.14,64.07757948360546,90.63,90.63,48.88,3173,48.35,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,20.4,38.0,6.0,8.0,38.0,0.0,14.0,40.0,0.0,4.0,0.0,0.0,0.0,0.0
362,epinephrine hydrochloride,43.950940860215056,55.95,55.95,62.48534448426922,66.6,66.6,17.767323775388295,25.3,25.3,39.383527479091995,54.31,54.31,66.3199381056684,96.7,96.7,56.31,3067,54.37,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0
376,corticotropin,44.883836121067304,57.69,57.69,63.88468737554759,68.82,68.82,17.767323775388295,25.3,25.3,41.2493180007965,56.19,56.19,66.90299764370104,98.31,98.31,57.83,2983,56.97,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,20.0,0.0,0.0,0.0,0.0
388,polymyxin B sulfate,44.55860049117218,56.63,56.63,63.3968339307049,68.03,68.03,17.767323775388295,25.3,25.3,40.59884674100624,55.1,55.1,66.6997253750166,97.62,97.62,57.08,3028,55.24,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,15.0,0.0,0.0,0.0,0.0
397,agar,44.23070987654321,56.26,56.26,62.90499800876145,67.16,67.16,17.767323775388295,25.3,25.3,39.94306551174831,54.59,54.59,66.49479374087349,97.26,97.26,56.64,3050,54.78,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,12.0,0.0,0.0,0.0,0.0
411,air,44.463021040754015,56.51,56.51,63.25346475507766,67.89,67.89,17.767323775388295,25.3,25.3,40.40768784016992,54.83,54.83,66.63998821850524,97.52,97.52,56.96,3035,55.08,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,14.0,0.0,0.0,0.0,0.0
423,ajmaline,40.585440727465816,54.26,54.26,55.685844285145365,63.52,63.52,17.767323775388295,25.3,25.3,37.455027213593524,53.0,53.0,65.63056302270012,95.32,95.32,54.7,3124,53.15,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,27.3,46.0,12.0,16.0,46.0,0.0,18.0,80.0,0.0,8.0,0.0,0.0,0.0,0.0
426,alanine,45.03417463162087,57.98,57.98,64.11019514137794,69.41,69.41,17.767323775388295,25.3,25.3,41.54999502190363,56.45,56.45,66.99695921279702,98.57,98.57,58.13,2965,57.35,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,24.0,0.0,0.0,0.0,0.0
430,albendazole,44.93145990973052,57.77,57.77,63.95612305854241,69.18,69.18,17.767323775388295,25.3,25.3,41.34456557812293,56.26,56.26,66.93276251161555,98.39,98.39,57.96,2977,57.08,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,21.0,0.0,0.0,0.0,0.0
435,albuterol,44.883836121067304,57.69,57.69,63.88468737554759,68.82,68.82,17.767323775388295,25.3,25.3,41.2493180007965,56.19,56.19,66.90299764370104,98.31,98.31,57.83,2983,56.97,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,20.0,0.0,0.0,0.0,0.0
448,ethanol,45.18501095181203,58.34,58.34,64.33644962166468,69.78,69.78,17.767323775388295,25.3,25.3,41.85166766228594,56.82,56.82,67.0912319129165,98.96,98.96,58.43,2943,57.79,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,45.0,0.0,0.0,0.0,0.0
460,alcuronium,37.173478361874416,49.93,49.93,48.81665073675826,59.95,59.95,17.767323775388295,25.3,25.3,35.433602482410734,51.96,51.96,64.91214904420549,93.89,93.89,52.21,3155,49.92,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,23.85,42.0,9.0,12.0,42.0,0.0,16.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0
479,Alfenta,11.759474976768884,12.97,12.97,11.96689565909996,12.97,12.97,17.767323775388295,25.3,25.3,18.213095712199657,12.97,12.97,59.36433442851454,52.27,52.27,19.37,3220,12.97,4,Limited Enterprise Impact,Risk Intelligence,Disease Burden Intelligence,Population Impact Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,7.5,15.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,alfentanil,44.711593986459576,57.42,57.42,63.626324173636,68.27,68.27,17.767323775388295,25.3,25.3,40.90483373158104,55.26,55.26,66.79534630957122,97.82,97.82,57.42,3006,55.59,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,17.0,0.0,0.0,0.0,0.0
