rxcui,drug_name,utilization_raw,utilization_score,utilization_percentile,spend_raw,spend_score,spend_percentile,disease_burden_raw,disease_burden_score,disease_burden_percentile,population_impact_raw,population_impact_score,population_impact_percentile,risk_raw,risk_score,risk_percentile,ehi_score,ehi_rank,ehi_percentile,ehi_tier,ehi_tier_label,primary_driver,secondary_driver,limiting_factor,methodology_version,calculation_date,source_coverage_flag
3364,didanosine,51.227223151741285,14.66,14.66,138.03046860119392,75.33,75.33,59.52740641559787,44.51,44.51,53.04923957804148,37.93,37.93,56.742997319744404,87.39,87.39,46.56,3430,40.65,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3389,diethylpropion,107.54804628988938,62.11,62.11,127.9338978214062,70.77,70.77,73.55397135994461,57.12,57.12,23.52341556926924,11.79,11.79,61.14279549687562,89.5,89.5,58.47,2239,72.47,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3393,diflunisal,181.25271754919083,92.97,92.97,102.7632922092758,56.11,56.11,38.861793840049096,23.86,23.86,62.15006719345236,45.79,45.79,6.787187157647776,12.39,12.39,54.8,2606,63.24,3,Operationally Relevant,Utilization Intelligence,Spend Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3407,digoxin,81.27767516327498,40.64,40.64,121.07138502159697,67.03,67.03,97.54965153338563,74.28,74.28,25.375212424851608,13.28,13.28,22.79845585594412,48.59,48.59,50.66,3020,51.98,3,Operationally Relevant,Disease Burden Intelligence,Spend Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3418,dihydroergotamine,67.99792179877768,28.87,28.87,90.79913140607738,47.71,47.71,51.60511276328698,36.46,36.46,49.92143432881245,35.31,35.31,37.684434750243916,71.48,71.48,40.33,4053,24.91,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3423,hydromorphone,97.079873154145,54.16,54.16,89.16350595140135,46.59,46.59,59.831271590344905,44.84,44.84,107.88403184053607,74.98,74.98,19.384887000073878,41.91,41.91,52.3,2856,56.41,3,Operationally Relevant,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3443,diltiazem,65.81488828676807,26.89,26.89,47.71307020418541,15.72,15.72,42.59888266806385,27.51,27.51,44.5294904566878,30.31,30.31,65.92134435444231,91.41,91.41,31.19,4961,8.8,4,Limited Enterprise Impact,Risk Intelligence,Population Impact Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3445,dimercaprol,78.39993407979055,38.15,38.15,146.01285680726207,78.54,78.54,364.34034100368126,99.99,99.99,80.28240762808656,59.66,59.66,51.753796430010894,84.36,84.36,68.46,1246,90.65,2,Strategically Important,Disease Burden Intelligence,Risk Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3446,succimer,91.02205316113961,49.12,49.12,238.49384081877338,96.62,96.62,128.4343161188114,87.25,87.25,32.88616851576755,19.79,19.79,13.72935908193601,29.28,29.28,62.24,1863,80.73,2,Strategically Important,Spend Intelligence,Disease Burden Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3478,dinoprostone,49.78335599739007,13.7,13.7,84.77298189578576,43.45,43.45,26.95670304311328,12.44,12.44,46.45810463679314,32.11,32.11,49.61805971797624,82.96,82.96,30.57,5023,8.02,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3521,dipyridamole,136.95027777392534,79.41,79.41,108.4096693233245,59.73,59.73,18.276324108795418,5.65,5.65,7.704432531997167,1.65,1.65,77.44797670650209,94.81,94.81,49.61,3125,48.97,3,Operationally Relevant,Risk Intelligence,Utilization Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3538,cromolyn sodium,44.76384552051119,10.4,10.4,159.82274251212993,83.25,83.25,28.76075334621155,14.09,14.09,33.09787388344644,19.94,19.94,77.67749683172015,94.88,94.88,39.23,4163,22.42,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3541,disopyramide,41.652284772980934,8.54,8.54,200.94167545441218,92.62,92.62,93.34244760212724,71.63,71.63,88.2226796681485,64.67,64.67,9.216706059814756,18.16,18.16,51.56,2930,54.43,3,Operationally Relevant,Spend Intelligence,Disease Burden Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3554,disulfiram,101.41732284208489,57.7,57.7,195.6522495348525,91.78,91.78,266.5602239603431,99.72,99.72,8.40760577238341,1.91,1.91,7.729087989744677,14.54,14.54,61.94,1893,80.14,2,Strategically Important,Disease Burden Intelligence,Spend Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3565,succinylcholine chloride,131.75723359853293,76.84,76.84,26.648205074026944,4.23,4.23,77.88493012119727,60.43,60.43,227.21428851787593,97.75,97.75,10.718798229137526,21.91,21.91,53.05,2781,58.5,3,Operationally Relevant,Population Impact Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3616,dobutamine,100.11745779216928,56.64,56.64,26.550324657892993,4.21,4.21,40.01158451438152,24.97,24.97,13.031386986103549,4.2,4.2,6.579751249039083,11.87,11.87,24.86,5547,3.07,4,Limited Enterprise Impact,Utilization Intelligence,Disease Burden Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3628,dopamine,86.2411330922273,44.97,44.97,205.06621361347797,93.2,93.2,27.47089007028812,12.9,12.9,51.561961547734015,36.66,36.66,34.93562300533584,67.95,67.95,51.66,2920,54.71,3,Operationally Relevant,Spend Intelligence,Risk Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3637,doxapram,77.99475282414116,37.8,37.8,121.26500260298016,67.14,67.14,22.499663010498903,8.66,8.66,100.41912329970646,71.38,71.38,20.589610118273605,44.41,44.41,45.0,3586,36.43,4,Limited Enterprise Impact,Population Impact Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3638,doxepin,71.33623525688265,31.84,31.84,195.7634485605268,91.8,91.8,54.854424094072144,39.9,39.9,58.17466132444419,42.43,42.43,23.336528912273117,49.64,49.64,51.81,2905,55.15,3,Operationally Relevant,Spend Intelligence,Risk Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3640,doxycycline,152.15633887517328,85.42,85.42,120.8255492066275,66.93,66.93,90.71835914672778,69.96,69.96,36.362381646874525,22.94,22.94,41.0025817419786,75.09,75.09,67.3,1359,89.11,2,Strategically Important,Utilization Intelligence,Risk Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3642,doxylamine,108.07271840339556,62.46,62.46,112.01265118433376,61.99,61.99,12.504074136141666,2.51,2.51,74.77601533830077,55.71,55.71,36.61436124154676,70.2,70.2,50.11,3075,50.48,3,Operationally Relevant,Risk Intelligence,Utilization Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3648,droperidol,74.44038011518495,34.5,34.5,11.035742880957613,0.4,0.4,105.73339726630182,78.58,78.58,66.56663019735566,49.45,49.45,32.859011740652946,65.08,65.08,40.09,4077,24.28,4,Limited Enterprise Impact,Disease Burden Intelligence,Risk Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3740,echothiophate iodide,62.93003334133404,24.45,24.45,264.6962560393157,98.01,98.01,49.148397698911914,34.05,34.05,84.30288861552629,62.33,62.33,25.0883638509959,52.8,52.8,53.28,2758,59.21,3,Operationally Relevant,Spend Intelligence,Population Impact Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3743,econazole,124.17700246280823,72.74,72.74,109.23445333598218,60.26,60.26,109.3880281052064,80.34,80.34,46.30294409252065,31.93,31.93,59.538916028459894,88.75,88.75,66.62,1427,88.13,2,Strategically Important,Risk Intelligence,Disease Burden Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3752,edrophonium,150.4099381874095,84.82,84.82,133.8614814967419,73.57,73.57,42.30137047273283,27.21,27.21,19.61971753221337,8.72,8.72,21.167994983298797,45.6,45.6,55.15,2571,64.1,3,Operationally Relevant,Utilization Intelligence,Spend Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3827,enalapril,143.86621810737347,82.25,82.25,141.9431003428374,77.01,77.01,88.2318890505934,68.33,68.33,133.543802915195,84.54,84.54,70.82549717290891,93.05,93.05,79.58,294,98.74,1,Enterprise Critical,Risk Intelligence,Population Impact Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3829,enalaprilat,57.07543551847971,19.32,19.32,82.6671420833793,41.92,41.92,65.01261777497241,49.68,49.68,149.65477466273552,88.57,88.57,12.840026797183974,26.99,26.99,42.2,3866,29.2,4,Limited Enterprise Impact,Population Impact Intelligence,Disease Burden Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3966,ephedrine,77.64672435563148,37.44,37.44,68.31853554879648,30.92,30.92,186.4601683267798,96.98,96.98,89.45290422893831,65.37,65.37,23.20158898715779,49.38,49.38,53.1,2776,58.66,3,Operationally Relevant,Disease Burden Intelligence,Population Impact Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3992,epinephrine,70.5881448825118,31.24,31.24,146.45728129847672,78.72,78.72,70.4874887821593,54.48,54.48,88.7436829499933,64.99,64.99,21.521333897532415,46.26,46.26,54.32,2654,62.01,3,Operationally Relevant,Spend Intelligence,Population Impact Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4018,ergocalciferol,83.06306912562196,42.14,42.14,171.7947884509004,86.68,86.68,39.40913689650276,24.43,24.43,49.715539442918484,35.1,35.1,69.94824391155778,92.78,92.78,53.74,2712,60.46,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4025,ergotamine,136.32442013220097,79.12,79.12,154.74076658500178,81.66,81.66,88.3041092062731,68.39,68.39,19.354684918775654,8.52,8.52,11.353589848920162,23.36,23.36,61.44,1943,79.11,2,Strategically Important,Spend Intelligence,Utilization Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4053,erythromycin,173.12622595884838,91.36,91.36,74.57589119527518,35.88,35.88,38.033270145422414,23.1,23.1,82.5479161102358,61.17,61.17,1.4930049299916457,1.41,1.41,50.31,3055,50.99,3,Operationally Relevant,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4055,erythromycin estolate,110.09138124102587,63.9,63.9,94.54305585600157,50.33,50.33,99.11784238063044,75.11,75.11,83.5538603198008,61.8,61.8,33.64976484778234,66.19,66.19,62.66,1821,81.54,2,Strategically Important,Disease Burden Intelligence,Risk Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4056,erythromycin ethylsuccinate,64.12224614499863,25.43,25.43,129.8714278084729,71.64,71.64,23.85107396031063,9.73,9.73,127.26291205421634,82.57,82.57,33.35442577773736,65.8,65.8,46.45,3441,40.35,3,Operationally Relevant,Population Impact Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4077,estazolam,89.96229925696005,48.24,48.24,69.39218380659923,31.78,31.78,70.94793612388843,54.88,54.88,331.90306598339987,99.76,99.76,34.53512472272178,67.47,67.47,55.1,2576,63.96,3,Operationally Relevant,Population Impact Intelligence,Risk Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4083,estradiol,188.82138956658275,94.21,94.21,165.9813138012798,85.15,85.15,53.726124804326,38.79,38.79,15.45125244154583,5.79,5.79,10.937769437315385,22.42,22.42,60.42,2044,76.87,2,Strategically Important,Utilization Intelligence,Spend Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4099,"estrogens, conjugated (USP)",95.89719000875365,53.29,53.29,147.67681228147856,79.12,79.12,41.69718399589549,26.58,26.58,55.05176132253331,39.71,39.71,31.005584024803014,62.31,62.31,53.27,2759,59.18,3,Operationally Relevant,Spend Intelligence,Risk Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4109,ethacrynic acid,78.08489783858522,37.89,37.89,95.61505147907872,51.14,51.14,63.98707141635332,48.7,48.7,19.381249470145086,8.55,8.55,25.295867042871663,53.18,53.18,40.49,4037,25.29,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4124,ethinyl estradiol,81.54768098045876,40.91,40.91,211.24110222300735,94.07,94.07,23.525605499978333,9.47,9.47,52.67938166583917,37.53,37.53,7.235328340329923,13.46,13.46,44.66,3620,35.53,4,Limited Enterprise Impact,Spend Intelligence,Utilization Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4126,amifostine,109.8468963558894,63.71,63.71,85.01136169649254,43.62,43.62,130.99303987835611,87.98,87.98,84.30897781320448,62.34,62.34,9.066923513947193,17.74,17.74,58.74,2212,73.14,3,Operationally Relevant,Disease Burden Intelligence,Utilization Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4135,ethosuximide,58.1546179136517,20.29,20.29,122.03674972150179,67.59,67.59,67.45620899280057,51.86,51.86,152.33116418864904,89.15,89.15,23.499611402211045,49.91,49.91,51.72,2914,54.92,3,Operationally Relevant,Population Impact Intelligence,Spend Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4170,ethynodiol diacetate,69.6837949198369,30.38,30.38,119.33896871652283,66.08,66.08,104.33990073022488,77.95,77.95,62.02432993383291,45.68,45.68,8.68429910452551,16.77,16.77,49.75,3111,49.42,3,Operationally Relevant,Disease Burden Intelligence,Spend Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4177,etomidate,142.84213200625308,81.84,81.84,129.0689523377655,71.3,71.3,93.07395940674279,71.45,71.45,53.075519759539915,37.95,37.95,55.27437894672979,86.47,86.47,71.01,998,93.59,2,Strategically Important,Risk Intelligence,Utilization Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4179,etoposide,108.32225272586288,62.61,62.61,148.217475447407,79.33,79.33,98.65856064456248,74.9,74.9,154.77267498804503,89.74,89.74,67.57284888155428,92.01,92.01,76.26,532,97.37,1,Enterprise Critical,Risk Intelligence,Population Impact Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4249,factor IX,96.39287666806541,53.63,53.63,124.95359009735584,69.15,69.15,109.90554148662044,80.57,80.57,171.67717624675407,92.83,92.83,50.53535468565019,83.55,83.55,71.77,924,94.33,2,Strategically Important,Population Impact Intelligence,Risk Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4257,factor VIII,146.29543316850913,83.23,83.23,197.08495473736323,92.05,92.05,75.7168620233712,58.87,58.87,42.94560660138066,28.84,28.84,41.74271596169922,75.84,75.84,71.67,934,94.22,2,Strategically Important,Spend Intelligence,Utilization Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4271,factor XIII,61.998433749459124,23.65,23.65,164.23200067400552,84.61,84.61,45.04808256451347,30.06,30.06,173.68500774563702,93.16,93.16,5.4912722652232135,9.36,9.36,49.17,3169,47.76,3,Operationally Relevant,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4278,famotidine,76.85871236359117,36.7,36.7,42.11151986346896,12.14,12.14,59.28714669700048,44.32,44.32,51.49432619857863,36.6,36.6,6.789001730672429,12.4,12.4,29.64,5113,7.04,4,Limited Enterprise Impact,Disease Burden Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4316,felodipine,106.58562832510718,61.47,61.47,231.0178932027761,96.01,96.01,74.58046440833049,58.0,58.0,16.212626986545487,6.24,6.24,48.543810796067575,82.12,82.12,63.19,1768,82.51,2,Strategically Important,Spend Intelligence,Risk Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4331,fenoprofen,104.7402545990232,60.13,60.13,75.2401407022257,36.36,36.36,107.14974515506972,79.25,79.25,67.11037157583755,49.84,49.84,17.24334109419014,37.31,37.31,54.19,2667,61.69,3,Operationally Relevant,Disease Burden Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4337,fentanyl,39.23386038081583,7.14,7.14,85.51401197202999,44.03,44.03,138.6166870979263,90.08,90.08,9.603061501905163,2.45,2.45,51.60423495000998,84.27,84.27,39.96,4090,24.01,4,Limited Enterprise Impact,Disease Burden Intelligence,Risk Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4385,fibrinogen,72.96833508827139,33.16,33.16,219.86185575036433,94.98,94.98,15.51974000522943,3.96,3.96,82.3262382230582,61.01,61.01,8.86943355734722,17.22,17.22,45.36,3550,37.31,4,Limited Enterprise Impact,Spend Intelligence,Population Impact Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4440,flavoxate,84.16044796924629,43.14,43.14,83.27421597164513,42.34,42.34,85.41022351376242,66.35,66.35,161.27332798841513,91.11,91.11,34.34332355780005,67.21,67.21,57.18,2368,69.42,3,Operationally Relevant,Population Impact Intelligence,Risk Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4441,flecainide,112.40150152967313,65.49,65.49,66.70510865456002,29.7,29.7,26.285394976615805,11.88,11.88,53.85473517286464,38.62,38.62,13.208648194683457,27.92,27.92,38.03,4283,19.88,4,Limited Enterprise Impact,Utilization Intelligence,Population Impact Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4450,fluconazole,104.55698221216917,60.0,60.0,67.575489856588,30.35,30.35,89.80161649127773,69.4,69.4,122.22776048874843,80.78,80.78,13.566812520318358,28.82,28.82,54.47,2639,62.39,3,Operationally Relevant,Population Impact Intelligence,Disease Burden Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4451,flucytosine,88.14882521966533,46.68,46.68,40.60818738459141,11.18,11.18,144.46949166314533,91.4,91.4,25.993713409717337,13.79,13.79,38.943929274893414,72.83,72.83,44.43,3643,34.85,4,Limited Enterprise Impact,Disease Burden Intelligence,Risk Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4457,flumazenil,27.077240330217673,2.28,2.28,174.9492429497759,87.47,87.47,63.81307359131893,48.57,48.57,68.63350376245012,51.01,51.01,36.5647412535425,70.12,70.12,46.93,3393,41.63,3,Operationally Relevant,Spend Intelligence,Risk Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4461,fluocinolone acetonide,90.40326071278109,48.6,48.6,76.61309258429267,37.4,37.4,107.4296864319585,79.35,79.35,91.49850347869867,66.45,66.45,64.09913581522366,90.76,90.76,58.84,2202,73.39,3,Operationally Relevant,Risk Intelligence,Disease Burden Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4462,fluocinonide,94.58030475686031,52.17,52.17,22.802576042217765,2.77,2.77,80.84977903449006,62.91,62.91,61.137917194675325,44.94,44.94,6.160712768464322,10.93,10.93,36.76,4410,17.37,4,Limited Enterprise Impact,Disease Burden Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4488,floxuridine,267.37548229857015,99.39,99.39,78.91528891617263,39.15,39.15,37.17729904924684,22.21,22.21,32.60979169314648,19.56,19.56,59.705160624638715,88.81,88.81,55.86,2500,65.94,3,Operationally Relevant,Utilization Intelligence,Risk Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4491,fluorometholone,82.76300088650143,41.88,41.88,292.6572199010149,98.92,98.92,54.68555952113183,39.7,39.7,79.80867303770823,59.33,59.33,6.094143288623694,10.75,10.75,55.21,2565,64.25,3,Operationally Relevant,Spend Intelligence,Population Impact Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4492,fluorouracil,106.87316220792906,61.65,61.65,128.02714153628622,70.8,70.8,131.24863032128016,88.08,88.08,66.3937602632715,49.33,49.33,35.054893058356306,68.14,68.14,68.02,1288,90.16,2,Strategically Important,Disease Burden Intelligence,Spend Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4493,fluoxetine,157.9805777595537,87.3,87.3,166.7955945422934,85.4,85.4,154.51489868734086,93.2,93.2,95.66940718826702,68.86,68.86,0.43021784496646387,0.19,0.19,76.53,510,97.51,1,Enterprise Critical,Disease Burden Intelligence,Utilization Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4494,fluoxymesterone,132.5799928046816,77.23,77.23,171.50047378618342,86.61,86.61,78.04342878852425,60.58,60.58,32.44973283899985,19.38,19.38,2.466802777339719,3.1,3.1,60.15,2071,76.34,2,Strategically Important,Spend Intelligence,Utilization Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4496,fluphenazine,176.553750073217,92.11,92.11,33.28670581029959,7.07,7.07,36.441589974661056,21.43,21.43,43.02932752790291,28.89,28.89,86.51469699198194,96.46,96.46,47.67,3319,43.6,3,Operationally Relevant,Risk Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4500,flurandrenolide,39.60258098329044,7.38,7.38,147.9965779327587,79.24,79.24,99.3802621188517,75.23,75.23,94.46162483351526,68.08,68.08,52.449335596046716,84.77,84.77,55.76,2510,65.72,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
4501,flurazepam,51.95475188021488,15.22,15.22,63.933081534027366,27.48,27.48,67.27299599065447,51.68,51.68,163.71229352155663,91.55,91.55,46.15801703765561,80.08,80.08,43.51,3735,32.55,4,Limited Enterprise Impact,Population Impact Intelligence,Risk Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
